name,calories,total_fat,protein,carbohydrate,sugars,fiber
Apple,52,0.2,0.3,14,10,2.4
Banana,89,0.3,1.1,23,12,2.6
Carrot,41,0.2,0.9,10,5,2.8
Broccoli,34,0.4,2.8,7,1.7,2.6
Chicken Breast,165,3.6,31,0,0,0
Salmon,208,13,20,0,0,0
Brown Rice,216,1.8,5,45,0,3.5
Oats,389,6.9,17,66,0,10.6
Almonds,579,50,21,22,4.4,12.5
Egg,155,11,13,1.1,1.1,0
Milk (Whole),61,3.3,3.2,4.8,5.1,0
Greek Yogurt,59,0.4,10,3.6,3.2,0
Spinach,23,0.4,2.9,3.6,0.4,2.2
Sweet Potato,86,0.1,1.6,20,4.2,3
Avocado,160,15,2,9,0.7,6.7
Lentils,116,0.4,9,20,1.8,7.9
Quinoa,120,1.9,4.4,21,0.9,2.8
Blueberries,57,0.3,0.7,14,10,2.4
Oranges,47,0.1,0.9,12,9.4,2.4
Tomato,18,0.2,0.9,3.9,2.6,1.2
